107:AOR:-(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:15.0 - 2.0 * FastMath.sqrt(30.0) |==> 15.0 + 2.0 * FastMath.sqrt(30.0)
108:AOR:-(double,double):/(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:15.0 - 2.0 * FastMath.sqrt(30.0) |==> 15.0 / (2.0 * FastMath.sqrt(30.0))
109:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:35.0 |==> 0.0
110:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:35.0 |==> -35.0
111:AOR:/(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:(15.0 - 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 - 2.0 * FastMath.sqrt(30.0)) % 35.0
112:AOR:/(double,double):*(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:(15.0 - 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 - 2.0 * FastMath.sqrt(30.0)) * 35.0
113:AOR:/(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:(15.0 - 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 - 2.0 * FastMath.sqrt(30.0)) + 35.0
114:AOR:/(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:(15.0 - 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 - 2.0 * FastMath.sqrt(30.0)) - 35.0
115:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:15.0 |==> 0.0
116:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:15.0 |==> -15.0
117:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:2.0 |==> 0.0
118:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:2.0 |==> -2.0
119:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:30.0 |==> 0.0
120:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:30.0 |==> -30.0
121:AOR:*(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:2.0 * FastMath.sqrt(30.0) |==> 2.0 % FastMath.sqrt(30.0)
122:AOR:*(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:2.0 * FastMath.sqrt(30.0) |==> 2.0 + FastMath.sqrt(30.0)
123:AOR:*(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:2.0 * FastMath.sqrt(30.0) |==> 2.0 - FastMath.sqrt(30.0)
124:AOR:*(double,double):/(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:2.0 * FastMath.sqrt(30.0) |==> 2.0 / FastMath.sqrt(30.0)
125:AOR:+(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:15.0 + 2.0 * FastMath.sqrt(30.0) |==> 15.0 % (2.0 * FastMath.sqrt(30.0))
126:AOR:+(double,double):*(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:15.0 + 2.0 * FastMath.sqrt(30.0) |==> 15.0 * (2.0 * FastMath.sqrt(30.0))
127:AOR:+(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:15.0 + 2.0 * FastMath.sqrt(30.0) |==> 15.0 - 2.0 * FastMath.sqrt(30.0)
128:AOR:+(double,double):/(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:15.0 + 2.0 * FastMath.sqrt(30.0) |==> 15.0 / (2.0 * FastMath.sqrt(30.0))
129:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:35.0 |==> 0.0
130:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:35.0 |==> -35.0
131:AOR:/(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:(15.0 + 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 + 2.0 * FastMath.sqrt(30.0)) % 35.0
132:AOR:/(double,double):*(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:(15.0 + 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 + 2.0 * FastMath.sqrt(30.0)) * 35.0
133:AOR:/(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:(15.0 + 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 + 2.0 * FastMath.sqrt(30.0)) + 35.0
134:AOR:/(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:89:(15.0 + 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 + 2.0 * FastMath.sqrt(30.0)) - 35.0
135:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:90.0 |==> 0.0
136:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:90.0 |==> -90.0
137:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:5.0 |==> 0.0
138:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:5.0 |==> -5.0
139:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:30.0 |==> 0.0
140:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:30.0 |==> -30.0
141:AOR:*(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:5.0 * FastMath.sqrt(30.0) |==> 5.0 % FastMath.sqrt(30.0)
142:AOR:*(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:5.0 * FastMath.sqrt(30.0) |==> 5.0 + FastMath.sqrt(30.0)
143:AOR:*(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:5.0 * FastMath.sqrt(30.0) |==> 5.0 - FastMath.sqrt(30.0)
144:AOR:*(double,double):/(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:5.0 * FastMath.sqrt(30.0) |==> 5.0 / FastMath.sqrt(30.0)
145:AOR:-(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:90.0 - 5.0 * FastMath.sqrt(30.0) |==> 90.0 % (5.0 * FastMath.sqrt(30.0))
146:AOR:-(double,double):*(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:90.0 - 5.0 * FastMath.sqrt(30.0) |==> 90.0 * (5.0 * FastMath.sqrt(30.0))
147:AOR:-(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:90.0 - 5.0 * FastMath.sqrt(30.0) |==> 90.0 + 5.0 * FastMath.sqrt(30.0)
148:AOR:-(double,double):/(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:90.0 - 5.0 * FastMath.sqrt(30.0) |==> 90.0 / (5.0 * FastMath.sqrt(30.0))
149:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:180.0 |==> 0.0
150:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:180.0 |==> -180.0
151:AOR:/(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:(90.0 - 5.0 * FastMath.sqrt(30.0)) / 180.0 |==> (90.0 - 5.0 * FastMath.sqrt(30.0)) % 180.0
152:AOR:/(double,double):*(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:(90.0 - 5.0 * FastMath.sqrt(30.0)) / 180.0 |==> (90.0 - 5.0 * FastMath.sqrt(30.0)) * 180.0
153:AOR:/(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:(90.0 - 5.0 * FastMath.sqrt(30.0)) / 180.0 |==> (90.0 - 5.0 * FastMath.sqrt(30.0)) + 180.0
154:AOR:/(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:94:(90.0 - 5.0 * FastMath.sqrt(30.0)) / 180.0 |==> (90.0 - 5.0 * FastMath.sqrt(30.0)) - 180.0
155:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:95:90.0 |==> 0.0
156:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:95:90.0 |==> -90.0
157:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:95:5.0 |==> 0.0
158:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:95:5.0 |==> -5.0
159:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:95:30.0 |==> 0.0
160:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:95:30.0 |==> -30.0
161:AOR:*(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:95:5.0 * FastMath.sqrt(30.0) |==> 5.0 % FastMath.sqrt(30.0)
162:AOR:*(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:95:5.0 * FastMath.sqrt(30.0) |==> 5.0 + FastMath.sqrt(30.0)
163:AOR:*(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:95:5.0 * FastMath.sqrt(30.0) |==> 5.0 - FastMath.sqrt(30.0)
164:AOR:*(double,double):/(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:95:5.0 * FastMath.sqrt(30.0) |==> 5.0 / FastMath.sqrt(30.0)
165:AOR:+(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:95:90.0 + 5.0 * FastMath.sqrt(30.0) |==> 90.0 % (5.0 * FastMath.sqrt(30.0))
166:AOR:+(double,double):*(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:95:90.0 + 5.0 * FastMath.sqrt(30.0) |==> 90.0 * (5.0 * FastMath.sqrt(30.0))
167:AOR:+(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:95:90.0 + 5.0 * FastMath.sqrt(30.0) |==> 90.0 - 5.0 * FastMath.sqrt(30.0)
